date,covid_severity,sunlight_time_minutes,production_capacity_rate,price_of_electricity,laborforce,export,monday,tuesday,wednesday,thursday,friday,saturday,sunday,new_year,nat_holiday,sacrifice_holiday,sacrifice_eve,ramadan_holiday,ramadan_eve,monday_or_friday_between_holidays,extra_holidays,partial_lockdown,full_lockdown
2017-01-01,0.0,558,77.0,317.1,51.5,12101.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2017-01-02,0.0,558,77.0,317.1,51.5,12101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-03,0.0,559,77.0,317.1,51.5,12101.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-04,0.0,560,77.0,317.1,51.5,12101.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-05,0.0,561,77.0,317.1,51.5,12101.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-06,0.0,562,77.0,317.1,51.5,12101.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-07,0.0,563,77.0,317.1,51.5,12101.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-08,0.0,564,77.0,317.1,51.5,12101.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-01-09,0.0,565,77.0,317.1,51.5,12101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-10,0.0,567,77.0,317.1,51.5,12101.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-11,0.0,568,77.0,317.1,51.5,12101.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-12,0.0,569,77.0,317.1,51.5,12101.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-13,0.0,570,77.0,317.1,51.5,12101.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-14,0.0,573,77.0,317.1,51.5,12101.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-15,0.0,574,77.0,317.1,51.5,12101.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-01-16,0.0,576,77.0,317.1,51.5,12101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-17,0.0,577,77.0,317.1,51.5,12101.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-18,0.0,579,77.0,317.1,51.5,12101.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-19,0.0,580,77.0,317.1,51.5,12101.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-20,0.0,582,77.0,317.1,51.5,12101.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-21,0.0,584,77.0,317.1,51.5,12101.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-22,0.0,586,77.0,317.1,51.5,12101.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-01-23,0.0,588,77.0,317.1,51.5,12101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-24,0.0,589,77.0,317.1,51.5,12101.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-25,0.0,591,77.0,317.1,51.5,12101.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-26,0.0,594,77.0,317.1,51.5,12101.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-27,0.0,596,77.0,317.1,51.5,12101.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-28,0.0,598,77.0,317.1,51.5,12101.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-29,0.0,599,77.0,317.1,51.5,12101.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-01-30,0.0,602,77.0,317.1,51.5,12101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-31,0.0,604,77.0,317.1,51.5,12101.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0.0,606,76.8,320.49,51.8,12984.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-02,0.0,608,76.8,320.49,51.8,12984.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-03,0.0,611,76.8,320.49,51.8,12984.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-04,0.0,613,76.8,320.49,51.8,12984.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-02-05,0.0,615,76.8,320.49,51.8,12984.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-06,0.0,617,76.8,320.49,51.8,12984.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
